       n        x     f(x)
--------------------------
       0  0.00000 -1.28293
       1  1.25000 -1.91939
       2  1.87500 -0.39876
       3  2.18750  0.72392
       4  2.03125  0.14349
       5  1.95312 -0.13340
       6  1.99219  0.00372
       7  1.97266 -0.06518
       8  1.98242 -0.03081
       9  1.98730 -0.01357
      10  1.98975 -0.00493
      11  1.99097 -0.00060
      12  1.99158  0.00156
      13  1.99127  0.00048
      14  1.99112 -0.00006
      15  1.99120  0.00021
      16  1.99116  0.00007
      17  1.99114  0.00001
      18  1.99113 -0.00003
      19  1.99113 -0.00001
      20  1.99114 -0.00000
      21  1.99114  0.00000
      22  1.99114 -0.00000
      23  1.99114  0.00000
      24  1.99114 -0.00000
      25  1.99114 -0.00000
      26  1.99114 -0.00000
      27  1.99114  0.00000
      28  1.99114 -0.00000
      29  1.99114 -0.00000
      30  1.99114 -0.00000
      31  1.99114 -0.00000
      32  1.99114  0.00000
      33  1.99114  0.00000
      34  1.99114 -0.00000
      35  1.99114 -0.00000
      36  1.99114  0.00000
      37  1.99114 -0.00000
      38  1.99114  0.00000
      39  1.99114 -0.00000
      40  1.99114 -0.00000
      41  1.99114  0.00000
      42  1.99114  0.00000
f( 1.991137 ) = 0.000000
